Risks,Annual_Returns,MSFT,AMZN,AAPL,GOOG,FB,TSLA,PHO,NFLX,PBW,AZN,ZM,QDEL,IMMU,LVGO,NRG,BE,PLUG,NVAX,AMD,NVDA,Risks_Downside,Sortino_Ratio
0.011943735578667826,0.0,0.02502654892744163,2.4286128663675302e-17,2.8406096919120216e-17,0.06614034972624527,1.7780915628762273e-17,9.49761103097302e-17,0.07545292847228897,0.030965165449317007,1.1492543028346347e-17,0.2666028967891982,6.266688556966216e-17,6.7220534694101275e-18,0.0,8.673617379884034e-18,0.5358121106355089,0.0,0.0,1.550409106654271e-17,0.0,1.0679391398982219e-17,0.008045611617798834,-1.37
0.009752823161771259,0.4365117030473745,7.5884989811804e-18,0.02904876460155767,0.0,4.269670109279422e-17,0.0,6.141685093220027e-18,0.6122354878580887,0.06317331245908744,0.0,0.15166449089398776,1.8455339847462156e-18,0.0,0.0,0.0036179145083979993,0.13300688517563594,3.2548123477768143e-19,9.4393249356759e-19,0.00725314450324429,0.0,0.0,0.006487091406701729,-1.02
0.00980626560778318,0.8730234060947489,0.0,0.020184953704536168,4.00530094409233e-18,0.0,0.0,0.0,0.6154899029303861,0.06133274347738516,6.948372159271245e-18,0.14519421742114794,0.0,0.0,0.003126907533737846,0.014592083669228175,0.13325035778334274,0.0,6.373489770501732e-22,0.006828833480235861,0.0,9.756968187846416e-20,0.006562243283691498,-0.35
0.009893527377525227,1.3095351091421237,0.0,0.012739175394297938,1.2669677292341828e-17,0.0,0.0011454261256160915,0.0,0.6160376083270783,0.06222553109482935,3.571310820884481e-18,0.14160580699598502,0.0015409917118628265,5.0243579104245134e-18,0.00729218111141365,0.018763078187612376,0.1345894267167178,1.0241622817985251e-18,1.550143272263844e-18,0.004060774334586757,1.4858777732696744e-18,1.3736459077584794e-18,0.006627218960650514,0.32
0.010013616815007105,1.7460468121894979,0.0,0.005336314432454514,9.733317622029496e-18,1.2627836179587915e-17,0.008464937272061329,3.823177555999727e-18,0.6131158442759757,0.057814913392639736,0.0,0.13426751306465365,0.0039055816134480007,0.0,0.011293396195530709,0.022659803152618525,0.14056075157914674,3.560141502440156e-18,0.0,0.002580945021471079,0.0,0.0,0.006719820655436529,0.96
0.01015989495616982,2.1825585152368725,0.0,0.001755930304137175,0.0,0.0,0.008763624630153923,0.0,0.6142903852556539,0.055699628313232386,0.0,0.13264978212705392,0.005240865935289029,0.0,0.015538719491601991,0.02621545962963871,0.13906635062719566,0.0,0.0,0.0007792536860432473,0.0,4.3949294207208486e-18,0.006786117559673564,1.6
0.010335296273859285,2.619070218284247,3.4304572765572754e-17,0.0018352243805995008,0.0,0.0,0.007807852433895781,0.0,0.6079280913448339,0.0527669317929015,1.1757675639868765e-17,0.12874923394910265,0.006016859061850586,3.781828602655103e-19,0.01941079229463992,0.03237189317996537,0.1431131215622107,4.1699838159119285e-17,1.4689142806269308e-18,0.0,6.177600366517844e-18,1.633839584354362e-17,0.0068945887972287935,2.2
0.010538886946463571,3.0555819213316213,0.0,0.0012294628064402956,9.576431357139583e-18,0.0,0.006838048629459697,1.3253525583840054e-18,0.6014809093538969,0.052658283009142375,0.0,0.12528482182341655,0.008142106486874391,7.431743934691693e-18,0.02351440528957081,0.03545368642131927,0.14539827617987985,0.0,0.0,0.0,0.0,0.0,0.006979509900773802,2.8
0.010769649602953044,3.4920936243789957,2.0789076994191278e-17,1.0616804690625476e-17,0.0,3.3028811543014084e-17,0.009899401288731806,8.414098626142662e-18,0.5925462911669727,0.05154961992005808,1.657609575513798e-17,0.12426701779005585,0.009060079389893423,1.977497666946327e-18,0.027874236552722014,0.03836262099948031,0.14644073289208576,1.8145806996348223e-17,8.565926096191466e-18,4.72729017375163e-18,1.244509427292687e-18,1.4225176658771543e-18,0.007038750808638634,3.4
0.011026181254050835,3.9286053274263706,0.0,4.6406441185785875e-18,5.606503815592357e-19,0.0,0.009561472805852218,0.0,0.5854062062524654,0.04930858172569543,8.378160149367429e-18,0.12207359692921675,0.01095032529526729,0.0,0.032024604814229626,0.041477690190593205,0.14919752198668024,0.0,0.0,0.0,0.0,0.0,0.007125770791875306,3.97
0.011309809573409182,4.365117030473745,5.375032267574591e-18,2.158065663375041e-18,0.0,0.0,0.005190307333408674,0.0,0.5834391716038453,0.04144430578458781,1.52740493041346e-18,0.11474917197801912,0.012858674650747592,2.0378432433448957e-18,0.03584182828535717,0.04677189227637142,0.1597046480876629,3.605189215029824e-18,0.0,4.088356478875321e-19,1.7999514951556794e-18,1.864207523716919e-18,0.007272368405620049,4.49
0.01160977673496238,4.801628733521119,3.181089994329638e-18,5.1718798853206886e-18,7.0825929283847e-18,1.31709656288932e-17,0.005420239399899454,0.0,0.5827934573916975,0.04260251279548928,0.0,0.11169026700448988,0.01429762674573853,0.0,0.0402780820010323,0.04837062144275096,0.15454719321890215,0.0,0.0,1.1451358710219432e-18,0.0,0.0,0.007326940931461989,5.05
