Risks,Annual_Returns,MSFT,AMZN,AAPL,GOOG,FB,TSLA,PHO,NFLX,PBW,AZN,ZM,QDEL,IMMU,LVGO,NRG,BE,PLUG,NVAX,AMD,NVDA
0.006856322123460055,0.0,0.0,7.550824063252697e-19,0.0,0.0,3.5780388849206547e-17,0.0,4.942979532804794e-17,0.043746400981136316,4.099652354299467e-18,0.4079044216427995,0.0,0.03616138281832071,1.1216497387071855e-17,2.0295876956832003e-17,0.5121877945577435,1.6132878358123687e-17,5.187201609465921e-18,0.0,3.2351130932300936e-18,1.6034073292093924e-17
0.005699978828933199,0.43651170304737447,0.0,0.0,2.0738040260151937e-18,0.0,0.0,0.0,0.4025569538573954,0.00623367673726304,1.4060038429608513e-17,0.36071590064376635,9.224839904964903e-18,0.04242372813457144,1.1190467967114684e-17,0.0,0.14902172339755168,9.559318596967481e-18,3.3333874760530212e-18,0.03904801722945326,0.0,0.0
0.005621612123492823,0.8730234060947489,3.141459388216566e-16,6.087872772436358e-16,0.0,1.8709373629736776e-16,2.7959342515954544e-16,4.015667896567867e-17,0.613361255529048,0.0,1.5950148045429347e-16,0.2837638997687334,2.3347701351184822e-17,0.04388786477748835,0.003657127530875195,1.1752124961812546e-16,0.015511972544234165,7.265082753298722e-18,0.0,0.039817879849619695,3.480666519050178e-17,0.0
0.005634912317674263,1.3095351091421235,1.5184292819454054e-17,0.0,0.0,2.594142918767578e-17,0.0,2.043780075255343e-17,0.6113830160670044,1.6947642728339013e-16,0.0,0.28185016645453176,2.3317399749070916e-17,0.04315488164598827,0.008682992918764997,0.0,0.014809743408504467,1.0179653444924097e-17,2.668994541405176e-17,0.040119199505206586,2.694500130716277e-17,7.776363281081173e-18
0.00564948656519286,1.7460468121894979,0.0,7.759869256434295e-17,9.20916268386582e-17,0.0,1.2139939983853993e-17,0.0,0.6114162613167863,0.0,0.0,0.27839769270840575,0.0,0.04346114107925667,0.01372448360847491,2.2442655540293672e-18,0.013171558055112057,2.91220891712812e-17,2.519096380669849e-17,0.0398288632319644,2.2920348611243585e-17,5.264626290883921e-17
0.005664270495118858,2.1825585152368725,0.0,0.0,0.0,0.0,0.0,0.0,0.6046856044219923,1.2536582199545385e-16,0.0,0.2808833523473287,2.4945152893311763e-17,0.04233662750924477,0.018733172802823637,0.0,0.012548477914506855,5.0761991491744535e-18,2.2005146489192202e-17,0.04081276500410455,0.0,0.0
0.005680310914588349,2.619070218284247,0.0,1.9874798658215678e-16,0.0,1.3921684126123217e-16,9.043599133977687e-17,0.0,0.6026357458214762,2.6005367210808755e-17,8.83660463950864e-17,0.279847312746306,0.0,0.04189996371055673,0.023763094213813635,5.674609735679222e-17,0.01091057202059678,0.0,0.0,0.04094331148725061,0.0,0.0
0.005697229489869628,3.0555819213316213,4.3031911184584826e-17,1.4763350587248487e-16,4.451763707334264e-17,1.3818744131165074e-16,5.662161449762463e-17,2.1206264437160666e-17,0.6003230963999554,2.0029856140108222e-17,1.0878126830552966e-17,0.27916016106474145,0.0,0.04146173165838231,0.028790093012997623,3.0499615263742095e-18,0.009130320510263539,9.556604164655604e-18,0.0,0.04113459735365934,0.0,4.057879044450892e-17
0.005714965974993239,3.4920936243789957,6.454419170488147e-17,1.0964731788729489e-17,3.415104327417705e-17,2.290002872739128e-16,3.5439075172476175e-17,4.5026485976894554e-17,0.5958451239987101,0.0,1.4277514999928385e-17,0.2788036700413378,8.747717927313477e-19,0.04127616718330201,0.033797484981466036,6.287663896099167e-17,0.008380742813822341,1.7927405018265447e-17,2.4939601973268017e-17,0.041896810981361214,3.3706243558253023e-17,5.7647180204127916e-18
0.005734039503260278,3.92860532742637,8.120379728870627e-17,2.2974250871405427e-16,1.804626501316865e-18,1.7557463710765e-16,0.0,6.82519562776239e-17,0.5988460431618239,7.619200872716486e-17,8.570336747874696e-17,0.2766456093143022,1.079948174012009e-17,0.03954186675011902,0.03877945959767489,4.429236982231223e-17,0.003744856717402459,7.204438706012956e-18,7.992015093045591e-18,0.042442164458676844,0.0,0.0
