Risks,Annual_Returns,MSFT,AMZN,AAPL,GOOG,FB,TSLA,PHO,NFLX,PBW,AZN,ZM,QDEL,IMMU,LVGO,NRG,BE,PLUG,NVAX,AMD,NVDA,Sortino_Ratio
0.018666469831488997,12.690362015354513,0.0,0.0,1.1495312983283506e-17,2.897804230856125e-17,0.0,0.0,1.0535560591773606e-17,0.0,0.0,0.0,0.4794209572436826,0.07726736370473451,2.407953304796565e-19,0.2353367284043881,1.2997456327452651e-18,0.20797495064719496,0.0,9.966796594598571e-19,1.6586422121046039e-18,3.376554016026232e-18,6.21
0.018791073611096505,12.768697583350528,8.277488748167949e-18,0.0,3.4493364386864746e-18,1.301219276580731e-18,2.713356918165776e-18,0.0027041164318215224,0.0,8.630777639308865e-18,4.0638010089616064e-18,0.0,0.47866931849457084,0.07313970404612671,1.6564956228034787e-18,0.24076066978213323,0.0,0.2047261912453478,2.442531599092975e-17,1.5708666842959302e-18,8.965193762774026e-18,2.1016013852202057e-18,6.21
0.018919813361693148,12.847033151346544,2.3837632074206836e-18,1.6100635475438655e-17,0.0,0.0,0.0,0.005193414873324798,0.0,0.0,2.3006792529803866e-17,0.0,0.47862204177338136,0.06917406190813166,0.0,0.24605023993045066,0.0,0.2009602415147114,1.2444015738292816e-16,0.0,1.764745291265911e-17,1.2418340829912527e-18,6.21
0.019052597744727368,12.92536871934256,3.439702843481703e-18,7.235976433632563e-18,7.565288868180512e-18,0.0,0.0,0.006978062188812556,2.525947760219689e-18,0.0,0.0,2.0727091564146993e-18,0.4794266700338296,0.06510645464967264,0.0,0.2510658554852814,8.236097825123647e-19,0.19742295764240372,0.0,0.0,0.0,1.2722220264700244e-18,6.21
0.01918932432994315,13.003704287338575,0.0,5.20061466562724e-18,0.0,0.0,0.0,0.007719474447413228,1.411558116386923e-17,1.433931061513437e-17,1.747568232312009e-18,0.0,0.4816950128292606,0.06096271186981109,0.0,0.2556319266802173,9.571315937135075e-19,0.19399087417329786,0.0,4.6563784679000455e-19,1.8029212678725766e-17,0.0,6.2
0.019330282919555367,13.08203985533459,0.0,4.8914253666341314e-18,0.0,0.0,0.0,0.010834180580803411,2.4266949005597446e-18,0.0,9.471010748469476e-18,2.6855833290575413e-18,0.4829545915852246,0.05689209007780878,4.6875423400008715e-18,0.25919652919531694,4.1090430122715095e-18,0.19012260856084637,3.462040907350649e-17,0.0,0.0,2.0023637776216455e-18,6.2
0.019474827225966197,13.160375423330606,6.6972380301365065e-18,1.0045027065771733e-17,2.3372381475800243e-18,1.4519073237920727e-18,1.4472729233936259e-18,0.011418300474937481,0.0,0.0,0.0,0.0,0.48383219072767947,0.05318606213264526,3.8565861674713775e-18,0.26570276212561045,5.05061604296428e-18,0.18586068453912732,7.788705525033777e-18,4.239447952250732e-18,1.3133929487431667e-17,0.0,6.19
0.019623343895849757,13.238710991326622,0.0,1.0038946245230243e-17,0.0,0.0,5.8772307931319505e-18,0.013631090444393205,1.7004037876184672e-17,7.433553116406438e-18,0.0,0.0,0.48410755149804435,0.04921449120588855,0.0,0.2709482916764846,0.0,0.1820985751751894,1.463869293650725e-16,0.0,0.0,0.0,6.19
0.01977556773401055,13.317046559322637,3.872481908508564e-18,3.2980250212989843e-18,4.658196963650898e-18,0.0,0.0,0.01584689918156436,0.0,0.0,3.6930543798847004e-18,5.6100556189330535e-18,0.4843807447231107,0.04524424265048327,0.0,0.27619520910870476,0.0,0.17833290433613716,0.0,0.0,1.8910115826526277e-17,9.215407951460876e-18,6.18
0.01993141380396682,13.395382127318653,3.6332611308388724e-19,1.608855542651912e-17,1.6806871977675786e-17,6.110857772047715e-18,0.0,0.018064072427274834,4.586140837263365e-18,0.0,0.0,0.0,0.4846531125369978,0.04127467341056532,5.096735429783858e-18,0.2814427590081947,1.3844816083848434e-18,0.1745653826169674,0.0,6.599651257816217e-18,0.0,1.4564065699205888e-17,6.17
0.020091379406654553,13.473717695314669,0.0,1.036298319259868e-17,1.1396023161714e-17,0.0,2.3083051254328372e-18,0.022387751631291128,0.0,0.0,9.8022962319841e-18,0.0,0.48470444706140037,0.03642824025716043,0.0,0.28376477534155903,2.1212407994637004e-18,0.1727147857085892,1.9010925224694173e-17,4.28607701352987e-18,0.0,2.1996721380635376e-18,6.16
0.02025363813446976,13.552053263310684,2.1122624954778893e-18,1.0714994973991456e-17,0.0,0.0,0.0,0.022678152853938344,0.0,9.8853692308958e-18,0.0,1.596239956375648e-17,0.4851020023625334,0.033308918740652615,7.478342459484036e-18,0.29182661409938937,0.0,0.16708431194348633,1.0833211277805362e-17,4.3053178661291374e-19,0.0,0.0,6.15
0.02041989955760444,13.6303888313067,0.0,8.915099176356458e-18,0.0,1.929916250217523e-18,0.0,0.023743887799753286,0.0,0.0,5.134778722064714e-18,1.4496184908134798e-17,0.4854154545252091,0.029329350671100103,1.7713110623544907e-19,0.29796077248319763,0.0,0.1635505345207401,0.0,1.9396769723627957e-19,0.0,5.43249151421133e-19,6.14
0.02058946973873898,13.708724399302715,0.0,2.8784321127468847e-18,0.0,0.0,3.580755321001445e-18,0.026224458110327094,0.0,1.6002322001289663e-17,0.0,1.1092789750592998e-17,0.48452035663639637,0.025648975562120174,0.0,0.3043915336281514,3.0664025313575542e-18,0.15921467606300502,0.0,7.394404875648138e-18,2.7228423269024863e-18,0.0,6.12
0.020762181649546095,13.787059967298731,0.0,0.0,4.945974378878434e-18,1.0908364464558697e-17,1.915290367017743e-18,0.02798998290808056,2.0258258668309454e-18,2.4596451678318736e-17,0.0,0.0,0.4854988134877007,0.021572996438472884,2.6048096650576067e-18,0.30926970358962125,0.0,0.15566850357612472,0.0,8.901957586383583e-18,0.0,0.0,6.11
0.02093789678318575,13.865395535294747,5.719287451620862e-18,0.0,1.2381921355116444e-17,0.0,0.0,0.03142825581919402,7.230451682315664e-19,5.007821319932448e-18,0.0,0.0,0.4862594896930015,0.017488036458994678,0.0,0.3129495990032995,0.0,0.1518746190255105,0.0,3.83587397048562e-20,0.0,3.33617958864586e-18,6.1
