"Date","Daily Sterling overnight index average (SONIA) rate                          IUDSOIA"
"21 Apr 20","0.0672"
"20 Apr 20","0.0661"
"17 Apr 20","0.0643"
"16 Apr 20","0.0632"
"15 Apr 20","0.0634"
"14 Apr 20","0.0635"
"09 Apr 20","0.066"
"08 Apr 20","0.0641"
"07 Apr 20","0.0661"
"06 Apr 20","0.0657"
"03 Apr 20","0.064"
"02 Apr 20","0.0653"
"01 Apr 20","0.0712"
"31 Mar 20","0.0729"
"30 Mar 20","0.0714"
"27 Mar 20","0.071"
"26 Mar 20","0.0729"
"25 Mar 20","0.075"
"24 Mar 20","0.0736"
"23 Mar 20","0.0723"
"20 Mar 20","0.0706"
"19 Mar 20","0.2134"
"18 Mar 20","0.2148"
"17 Mar 20","0.2135"
"16 Mar 20","0.2096"
"13 Mar 20","0.2093"
"12 Mar 20","0.2093"
"11 Mar 20","0.2092"
"10 Mar 20","0.7091"
"09 Mar 20","0.7091"
"06 Mar 20","0.7087"
"05 Mar 20","0.7089"
"04 Mar 20","0.71"
"03 Mar 20","0.7098"
"02 Mar 20","0.7089"
"28 Feb 20","0.7098"
"27 Feb 20","0.7106"
"26 Feb 20","0.7114"
"25 Feb 20","0.7109"
"24 Feb 20","0.7105"
"21 Feb 20","0.7112"
"20 Feb 20","0.711"
"19 Feb 20","0.7102"
"18 Feb 20","0.7095"
"17 Feb 20","0.7092"
"14 Feb 20","0.7103"
"13 Feb 20","0.7106"
"12 Feb 20","0.7098"
"11 Feb 20","0.7097"
"10 Feb 20","0.7095"
"07 Feb 20","0.7112"
"06 Feb 20","0.7107"
"05 Feb 20","0.7107"
"04 Feb 20","0.7104"
"03 Feb 20","0.7104"
"31 Jan 20","0.7117"
"30 Jan 20","0.7099"
"29 Jan 20","0.7103"
"28 Jan 20","0.7096"
"27 Jan 20","0.7089"
"24 Jan 20","0.7106"
"23 Jan 20","0.7104"
"22 Jan 20","0.7117"
"21 Jan 20","0.7117"
"20 Jan 20","0.7117"
"17 Jan 20","0.712"
"16 Jan 20","0.7117"
"15 Jan 20","0.7125"
"14 Jan 20","0.7111"
"13 Jan 20","0.7107"
"10 Jan 20","0.7117"
"09 Jan 20","0.7123"
"08 Jan 20","0.7124"
"07 Jan 20","0.712"
"06 Jan 20","0.7124"
"03 Jan 20","0.711"
"02 Jan 20","0.7125"
"31 Dec 19","0.7098"
"30 Dec 19","0.7107"
"27 Dec 19","0.71"
"24 Dec 19","0.7094"
"23 Dec 19","0.7102"
"20 Dec 19","0.7108"
"19 Dec 19","0.7113"
"18 Dec 19","0.7106"
"17 Dec 19","0.7104"
"16 Dec 19","0.7111"
"13 Dec 19","0.7113"
"12 Dec 19","0.7104"
"11 Dec 19","0.7098"
"10 Dec 19","0.7103"
"09 Dec 19","0.7095"
"06 Dec 19","0.7086"
"05 Dec 19","0.7097"
"04 Dec 19","0.7091"
"03 Dec 19","0.7092"
"02 Dec 19","0.7091"
"29 Nov 19","0.7123"
"28 Nov 19","0.71"
"27 Nov 19","0.7105"
"26 Nov 19","0.7097"
"25 Nov 19","0.7097"
"22 Nov 19","0.7104"
"21 Nov 19","0.7107"
"20 Nov 19","0.7108"
"19 Nov 19","0.7106"
"18 Nov 19","0.7099"
"15 Nov 19","0.7085"
"14 Nov 19","0.7091"
"13 Nov 19","0.7109"
"12 Nov 19","0.7103"
"11 Nov 19","0.7112"
"08 Nov 19","0.71"
"07 Nov 19","0.7108"
"06 Nov 19","0.7115"
"05 Nov 19","0.7105"
"04 Nov 19","0.7117"
"01 Nov 19","0.7119"
"31 Oct 19","0.7106"
"30 Oct 19","0.7107"
"29 Oct 19","0.7107"
"28 Oct 19","0.7106"
"25 Oct 19","0.7097"
"24 Oct 19","0.7108"
"23 Oct 19","0.7124"
"22 Oct 19","0.7116"
"21 Oct 19","0.7111"
"18 Oct 19","0.7101"
"17 Oct 19","0.7107"
"16 Oct 19","0.7109"
"15 Oct 19","0.7111"
"14 Oct 19","0.7106"
"11 Oct 19","0.7108"
"10 Oct 19","0.7115"
"09 Oct 19","0.7112"
"08 Oct 19","0.7107"
"07 Oct 19","0.7111"
"04 Oct 19","0.7118"
"03 Oct 19","0.7098"
"02 Oct 19","0.7098"
"01 Oct 19","0.7108"
"30 Sep 19","0.7101"
"27 Sep 19","0.7109"
"26 Sep 19","0.7109"
"25 Sep 19","0.7099"
"24 Sep 19","0.7105"
"23 Sep 19","0.7099"
"20 Sep 19","0.7093"
"19 Sep 19","0.7104"
"18 Sep 19","0.7104"
"17 Sep 19","0.711"
"16 Sep 19","0.7099"
"13 Sep 19","0.708"
"12 Sep 19","0.7096"
"11 Sep 19","0.7091"
"10 Sep 19","0.7087"
"09 Sep 19","0.7096"
"06 Sep 19","0.7098"
"05 Sep 19","0.7099"
"04 Sep 19","0.7095"
"03 Sep 19","0.7099"
"02 Sep 19","0.7091"
